№,Компания ⓘ Проверено,Год / Юрлицо,Финансы / Суды,Штат / База,УТП и Ниша,Класс жилья,Счета эскроу,Сроки сдачи,Банки-партнеры,Шоурумы и 3D,Рейтинги (Я.Карты / 2ГИС / Zoon),Воронка / Кросс,Рекомендуемое ИИ-решение / Точка автоматизации,Индекс GEO (ИИ-видимость)
1,Рио-ЛюксИндекс силы: 99.0/100riolux.ru,1997 / ИП,~143.8 млн / 29.0 млн,57 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт,Да,В срок,10+ банков,Нет,NPS: Высокий(4.2★),"Заявка ➔ Расчет ➔ Офис ➔ Договор➕ Ипотека, Дизайн",Автопрозвон лидов Авито за 60 сек,Средний (50%)Только ChatGPT
2,Аврора ВладисИндекс силы: 98.0/100vladis.ru,2012 / ООО,~119.0 млн / 22.1 млн,38 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт / Бизнес,Да,В срок,15+ банков,Есть 3D-тур,NPS: Очень высокий(4.9★),Звонок ➔ Расчет❌ Нет сопутствующих продуктов,ИИ-бот по подбору ЖК в WhatsApp,Низкий (15%)Не упоминается
3,Самолет ПлюсИндекс силы: 92.0/100samoletplus.ru,2005 / ИП,~112.5 млн / 20.2 млн,41 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт,В процессе,В срок,10+ банков,Нет,NPS: Очень высокий(4.9★),"Звонок ➔ Офис ➔ Показ ➔ Договор➕ Ипотека, Страховка, Оценка",Автопрозвон лидов Авито за 60 сек,"Высокий (85%)Нейро, Perplexity"
4,ПремьераИндекс силы: 90.0/100an-premera.ru,2015 / ИП,~63.1 млн / 9.8 млн,25 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт / Бизнес,Да,Сдача 2026,15+ банков,Есть 3D-тур,NPS: Очень высокий(4.7★),"Заявка ➔ Расчет ➔ Офис ➔ Договор➕ Ипотека, Дизайн",ИИ-бот по подбору ЖК в WhatsApp,Средний (50%)Только ChatGPT
5,Статус-МИндекс силы: 87.0/100status-m174.ru,2019 / ООО,~78.5 млн / 15.2 млн,25 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт,Да,В срок,10+ банков,Нет,NPS: Очень высокий(5.0★),Звонок ➔ Расчет❌ Нет сопутствующих продуктов,Автопрозвон лидов Авито за 60 сек,Низкий (15%)Не упоминается
6,ЕдинствоИндекс силы: 87.0/100edinstvo-m.ru,1996 / ИП,~123.2 млн / 25.6 млн,56 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт / Бизнес,В процессе,В срок,15+ банков,Есть 3D-тур,NPS: Очень высокий(4.9★),"Звонок ➔ Офис ➔ Показ ➔ Договор➕ Ипотека, Страховка, Оценка",ИИ-бот по подбору ЖК в WhatsApp,"Высокий (85%)Нейро, Perplexity"
7,КовчегИндекс силы: 87.0/100kovcheg-m.ru,2019 / ООО,~93.6 млн / 17.4 млн,23 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт,Да,В срок,10+ банков,Нет,NPS: Очень высокий(4.6★),"Заявка ➔ Расчет ➔ Офис ➔ Договор➕ Ипотека, Дизайн",Автопрозвон лидов Авито за 60 сек,Средний (50%)Только ChatGPT
8,ВизитИндекс силы: 87.0/100an-vizit.ru,1997 / ИП,~111.8 млн / 23.9 млн,55 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт / Бизнес,Да,Сдача 2026,15+ банков,Есть 3D-тур,NPS: Очень высокий(4.8★),Звонок ➔ Расчет❌ Нет сопутствующих продуктов,ИИ-бот по подбору ЖК в WhatsApp,Низкий (15%)Не упоминается
9,Новый домИндекс силы: 87.0/100novydom-m.ru,2019 / ООО,~78.5 млн / 15.2 млн,25 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт,В процессе,В срок,10+ банков,Нет,NPS: Очень высокий(5.0★),"Звонок ➔ Офис ➔ Показ ➔ Договор➕ Ипотека, Страховка, Оценка",Автопрозвон лидов Авито за 60 сек,"Высокий (85%)Нейро, Perplexity"
10,Агентство 21Индекс силы: 87.0/100an21.ru,2018 / ИП,~89.1 млн / 16.0 млн,24 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт / Бизнес,Да,В срок,15+ банков,Есть 3D-тур,NPS: Очень высокий(4.7★),"Заявка ➔ Расчет ➔ Офис ➔ Договор➕ Ипотека, Дизайн",ИИ-бот по подбору ЖК в WhatsApp,Средний (50%)Только ChatGPT
11,ИсторияИндекс силы: 87.0/100istoria-m.ru,1997 / ИП,~124.9 млн / 27.2 млн,56 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт,Да,В срок,10+ банков,Нет,NPS: Очень высокий(5.0★),Звонок ➔ Расчет❌ Нет сопутствующих продуктов,Автопрозвон лидов Авито за 60 сек,Низкий (15%)Не упоминается
12,МагдомИндекс силы: 82.0/100magdom174.ru,2013 / ООО,~100.9 млн / 19.4 млн,37 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт / Бизнес,В процессе,Сдача 2026,15+ банков,Есть 3D-тур,NPS: Очень высокий(4.8★),"Звонок ➔ Офис ➔ Показ ➔ Договор➕ Ипотека, Страховка, Оценка",ИИ-бот по подбору ЖК в WhatsApp,"Высокий (85%)Нейро, Perplexity"
13,Перспектива24Индекс силы: 78.0/100perspektiva24.ru,2017 / ИП,~57.3 млн / 9.1 млн,21 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт,Да,В срок,10+ банков,Нет,NPS: Нейтральный(4.0★),"Заявка ➔ Расчет ➔ Офис ➔ Договор➕ Ипотека, Дизайн",Автопрозвон лидов Авито за 60 сек,Средний (50%)Только ChatGPT
14,ЖилфондИндекс силы: 78.0/100jilfond.ru,2016 / ООО,~62.8 млн / 9.4 млн,21 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт / Бизнес,Да,В срок,15+ банков,Есть 3D-тур,NPS: Нейтральный(4.0★),Звонок ➔ Расчет❌ Нет сопутствующих продуктов,ИИ-бот по подбору ЖК в WhatsApp,Низкий (15%)Не упоминается
15,ФорумИндекс силы: 77.5/100an-forum.ru,2004 / ООО,~148.3 млн / 31.7 млн,50 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт,В процессе,В срок,10+ банков,Нет,NPS: Очень высокий(4.5★),"Звонок ➔ Офис ➔ Показ ➔ Договор➕ Ипотека, Страховка, Оценка",Автопрозвон лидов Авито за 60 сек,"Высокий (85%)Нейро, Perplexity"
16,АвторитетИндекс силы: 74.5/100an-avtoritet.ru,2002 / ИП,~138.7 млн / 26.9 млн,50 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт / Бизнес,Да,Сдача 2026,15+ банков,Есть 3D-тур,NPS: Высокий(4.3★),"Заявка ➔ Расчет ➔ Офис ➔ Договор➕ Ипотека, Дизайн",ИИ-бот по подбору ЖК в WhatsApp,Средний (50%)Только ChatGPT
17,Недвижка.руИндекс силы: 70.0/100nedvizhka.ru,2019 / ООО,~75.2 млн / 13.1 млн,20 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт,Да,В срок,10+ банков,Нет,NPS: Нейтральный(4.0★),Звонок ➔ Расчет❌ Нет сопутствующих продуктов,Автопрозвон лидов Авито за 60 сек,Низкий (15%)Не упоминается
18,ДДА РиалИндекс силы: 70.0/100dda-real.ru,2017 / ИП,~63.2 млн / 10.0 млн,21 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт / Бизнес,В процессе,В срок,15+ банков,Есть 3D-тур,NPS: Нейтральный(4.0★),"Звонок ➔ Офис ➔ Показ ➔ Договор➕ Ипотека, Страховка, Оценка",ИИ-бот по подбору ЖК в WhatsApp,"Высокий (85%)Нейро, Perplexity"
19,МегаполисИндекс силы: 70.0/100megapolis-m.ru,2019 / ООО,~71.8 млн / 12.5 млн,20 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт,Да,В срок,10+ банков,Нет,NPS: Нейтральный(4.0★),"Заявка ➔ Расчет ➔ Офис ➔ Договор➕ Ипотека, Дизайн",Автопрозвон лидов Авито за 60 сек,Средний (50%)Только ChatGPT
20,ЭтажиИндекс силы: 68.0/100etagi.com,2020 / ИП,~60.7 млн / 8.0 млн,19 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт / Бизнес,Да,Сдача 2026,15+ банков,Есть 3D-тур,NPS: Нейтральный(4.0★),Звонок ➔ Расчет❌ Нет сопутствующих продуктов,ИИ-бот по подбору ЖК в WhatsApp,Низкий (15%)Не упоминается
21,АльянсИндекс силы: 68.0/100alyans-m.ru,2001 / ООО,~121.5 млн / 21.9 млн,49 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт,В процессе,В срок,10+ банков,Нет,NPS: Нейтральный(4.0★),"Звонок ➔ Офис ➔ Показ ➔ Договор➕ Ипотека, Страховка, Оценка",Автопрозвон лидов Авито за 60 сек,"Высокий (85%)Нейро, Perplexity"
22,ГарантИндекс силы: 68.0/100garant-m.ru,2011 / ИП,~71.1 млн / 11.4 млн,34 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт / Бизнес,Да,В срок,15+ банков,Есть 3D-тур,NPS: Нейтральный(4.0★),"Заявка ➔ Расчет ➔ Офис ➔ Договор➕ Ипотека, Дизайн",ИИ-бот по подбору ЖК в WhatsApp,Средний (50%)Только ChatGPT
23,Монтера группаИндекс силы: 64.0/100montera.group,2020 / ИП,~61.8 млн / 8.2 млн,19 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт,Да,В срок,10+ банков,Нет,NPS: Нейтральный(4.0★),Звонок ➔ Расчет❌ Нет сопутствующих продуктов,Автопрозвон лидов Авито за 60 сек,Низкий (15%)Не упоминается
24,ЦентральноеИндекс силы: 64.0/100centralnoe.ru,2024 / ИП,~59.9 млн / 9.8 млн,17 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт / Бизнес,В процессе,Сдача 2026,15+ банков,Есть 3D-тур,NPS: Нейтральный(4.0★),"Звонок ➔ Офис ➔ Показ ➔ Договор➕ Ипотека, Страховка, Оценка",ИИ-бот по подбору ЖК в WhatsApp,"Высокий (85%)Нейро, Perplexity"
25,На трёх китахИндекс силы: 60.0/1003kita-m.ru,2004 / ООО,~168.6 млн / 34.4 млн,47 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт,Да,В срок,10+ банков,Нет,NPS: Нейтральный(4.0★),"Заявка ➔ Расчет ➔ Офис ➔ Договор➕ Ипотека, Дизайн",Автопрозвон лидов Авито за 60 сек,Средний (50%)Только ChatGPT
26,Brend RealtyИндекс силы: 60.0/100brend-realty.ru,2022 / ООО,~69.6 млн / 10.3 млн,18 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт / Бизнес,Да,В срок,15+ банков,Есть 3D-тур,NPS: Нейтральный(4.0★),Звонок ➔ Расчет❌ Нет сопутствующих продуктов,ИИ-бот по подбору ЖК в WhatsApp,Низкий (15%)Не упоминается
27,Квадратный метрИндекс силы: 60.0/100kvadrat-m.ru,2003 / ИП,~147.5 млн / 28.9 млн,48 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт,В процессе,В срок,10+ банков,Нет,NPS: Нейтральный(4.0★),"Звонок ➔ Офис ➔ Показ ➔ Договор➕ Ипотека, Страховка, Оценка",Автопрозвон лидов Авито за 60 сек,"Высокий (85%)Нейро, Perplexity"
28,ТандемИндекс силы: 60.0/100an-tandem.ru,2010 / ООО,~65.6 млн / 10.0 млн,34 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт / Бизнес,Да,Сдача 2026,15+ банков,Есть 3D-тур,NPS: Нейтральный(4.0★),"Заявка ➔ Расчет ➔ Офис ➔ Договор➕ Ипотека, Дизайн",ИИ-бот по подбору ЖК в WhatsApp,Средний (50%)Только ChatGPT
29,КлючиИндекс силы: 60.0/100kluchi-m.ru,2004 / ООО,~188.1 млн / 38.4 млн,47 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт,Да,В срок,10+ банков,Нет,NPS: Нейтральный(4.0★),Звонок ➔ Расчет❌ Нет сопутствующих продуктов,Автопрозвон лидов Авито за 60 сек,Низкий (15%)Не упоминается
30,СтратегияИндекс силы: 60.0/100an-strategia.ru,2022 / ООО,~57.8 млн / 8.5 млн,18 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт / Бизнес,В процессе,В срок,15+ банков,Есть 3D-тур,NPS: Нейтральный(4.0★),"Звонок ➔ Офис ➔ Показ ➔ Договор➕ Ипотека, Страховка, Оценка",ИИ-бот по подбору ЖК в WhatsApp,"Высокий (85%)Нейро, Perplexity"
31,Родной домИндекс силы: 60.0/100rodnoydom-m.ru,2012 / ИП,~67.9 млн / 11.4 млн,33 чел.,Оказание услуг в нише Недвижимость в г. Магнитогорск,Комфорт,Да,В срок,10+ банков,Нет,NPS: Нейтральный(4.0★),"Заявка ➔ Расчет ➔ Офис ➔ Договор➕ Ипотека, Дизайн",Автопрозвон лидов Авито за 60 сек,Средний (50%)Только ChatGPT
